PollTaker;LastEdit;Radiobuttons;Checkboxen;Textfrage Single Line;Textfrage Multiline;Rangefrage;Sliderfrage nach Gefühl;Sliderfrage nach Wert;Sortierfrage

2;09/07/2020 - 15:12:25 MESZ;2 ;C D ;Hallo ;Das ist ein langer Text ;6 ;0.07 ;73 ;A E B D C ;
4;09/07/2020 - 15:12:25 MESZ;4 ;D D ;Hallo ;Das ist ein langer Text ;5 ;0.32 ;1479 ;A B D C E ;
6;09/07/2020 - 15:12:25 MESZ;2 ;A A ;Hallo ;Das ist ein langer Text ;7 ;0.76 ;4472 ;B E C D A ;
8;09/07/2020 - 15:12:25 MESZ;2 ;E C ;Hallo ;Das ist ein langer Text ;4 ;0.43 ;646 ;A D C B E ;
10;09/07/2020 - 15:12:25 MESZ;4 ;B C ;Hallo ;Das ist ein langer Text ;7 ;0.08 ;4609 ;D A B C E ;
12;09/07/2020 - 15:12:25 MESZ;3 ;E D ;Hallo ;Das ist ein langer Text ;0 ;0.88 ;3672 ;A B E D C ;
14;09/07/2020 - 15:12:25 MESZ;4 ;D A ;Hallo ;Das ist ein langer Text ;1 ;0.62 ;3873 ;C A D B E ;
16;09/07/2020 - 15:12:25 MESZ;1 ;E B ;Hallo ;Das ist ein langer Text ;4 ;0.7 ;1858 ;B C E D A ;
18;09/07/2020 - 15:12:25 MESZ;4 ;C B ;Hallo ;Das ist ein langer Text ;2 ;0.51 ;4164 ;D C E B A ;
20;09/07/2020 - 15:12:25 MESZ;4 ;C A ;Hallo ;Das ist ein langer Text ;0 ;0.78 ;1198 ;D B A C E ;
22;09/07/2020 - 15:12:25 MESZ;1 ;B B ;Hallo ;Das ist ein langer Text ;2 ;0.04 ;4389 ;A B C D E ;
24;09/07/2020 - 15:12:25 MESZ;2 ;A C ;Hallo ;Das ist ein langer Text ;4 ;0.34 ;2156 ;E C A B D ;
26;09/07/2020 - 15:12:25 MESZ;3 ;C A ;Hallo ;Das ist ein langer Text ;0 ;0.58 ;4624 ;B E D C A ;
28;09/07/2020 - 15:12:25 MESZ;4 ;E D ;Hallo ;Das ist ein langer Text ;6 ;0.44 ;1521 ;E A D C B ;
30;09/07/2020 - 15:12:26 MESZ;1 ;D A ;Hallo ;Das ist ein langer Text ;6 ;0.02 ;2834 ;C E B A D ;
32;09/07/2020 - 15:12:26 MESZ;4 ;B A ;Hallo ;Das ist ein langer Text ;0 ;0.73 ;1990 ;C B D A E ;
34;09/07/2020 - 15:12:26 MESZ;1 ;E B ;Hallo ;Das ist ein langer Text ;1 ;0.72 ;4420 ;B D A C E ;
36;09/07/2020 - 15:12:26 MESZ;1 ;D B ;Hallo ;Das ist ein langer Text ;4 ;0.9 ;1771 ;D B A E C ;
38;09/07/2020 - 15:12:26 MESZ;1 ;D B ;Hallo ;Das ist ein langer Text ;7 ;0.81 ;2525 ;D A C B E ;
40;09/07/2020 - 15:12:26 MESZ;1 ;C B ;Hallo ;Das ist ein langer Text ;5 ;0.52 ;2121 ;E B A C D ;
42;09/07/2020 - 15:12:26 MESZ;3 ;B A ;Hallo ;Das ist ein langer Text ;7 ;0.32 ;1134 ;C B D A E ;
44;09/07/2020 - 15:12:26 MESZ;4 ;A D ;Hallo ;Das ist ein langer Text ;4 ;0.49 ;4439 ;D B C A E ;
46;09/07/2020 - 15:12:26 MESZ;2 ;E C ;Hallo ;Das ist ein langer Text ;6 ;0.62 ;4727 ;C D A E B ;
48;09/07/2020 - 15:12:26 MESZ;1 ;A D ;Hallo ;Das ist ein langer Text ;2 ;0.43 ;1193 ;C D A B E ;
50;09/07/2020 - 15:12:26 MESZ;2 ;E B ;Hallo ;Das ist ein langer Text ;2 ;0.1 ;1165 ;E B D C A ;
52;09/07/2020 - 15:12:26 MESZ;1 ;A A ;Hallo ;Das ist ein langer Text ;3 ;0.35 ;2926 ;E C B A D ;
56;09/07/2020 - 15:12:26 MESZ;2 ;C A ;Hallo ;Das ist ein langer Text ;6 ;0.73 ;1826 ;D A B C E ;
54;09/07/2020 - 15:12:26 MESZ;4 ;C C ;Hallo ;Das ist ein langer Text ;4 ;0.55 ;457 ;E C A B D ;
58;09/07/2020 - 15:12:26 MESZ;1 ;A A ;Hallo ;Das ist ein langer Text ;5 ;0.94 ;367 ;E C B A D ;
60;09/07/2020 - 15:12:26 MESZ;3 ;B B ;Hallo ;Das ist ein langer Text ;4 ;0.14 ;4084 ;E C D A B ;
62;09/07/2020 - 15:12:26 MESZ;4 ;B A ;Hallo ;Das ist ein langer Text ;3 ;0.15 ;2368 ;A C D E B ;
64;09/07/2020 - 15:12:26 MESZ;1 ;A D ;Hallo ;Das ist ein langer Text ;6 ;0.15 ;3342 ;D E A C B ;
66;09/07/2020 - 15:12:26 MESZ;2 ;E A ;Hallo ;Das ist ein langer Text ;2 ;0.6 ;2198 ;D A E B C ;
68;09/07/2020 - 15:12:26 MESZ;4 ;B A ;Hallo ;Das ist ein langer Text ;7 ;0.76 ;2394 ;E C D A B ;
70;09/07/2020 - 15:12:26 MESZ;2 ;C B ;Hallo ;Das ist ein langer Text ;2 ;0.78 ;2905 ;A D E B C ;
72;09/07/2020 - 15:12:26 MESZ;3 ;D D ;Hallo ;Das ist ein langer Text ;5 ;0.07 ;4465 ;D E C A B ;
74;09/07/2020 - 15:12:26 MESZ;2 ;B C ;Hallo ;Das ist ein langer Text ;6 ;0.25 ;4630 ;B C A E D ;
76;09/07/2020 - 15:12:26 MESZ;1 ;E C ;Hallo ;Das ist ein langer Text ;6 ;0.98 ;3530 ;C D A E B ;
